yyyymm,ics_all,ics_a1834,ics_a3554,ics_a5597,ics_w,ics_nc,ics_ne,ics_s,ics_m,ics_f,ics_y13,ics_y23,ics_y33,ics_ehs,ics_esc,ics_ecd
197801,83.7,93.7,86.7,75,83.6,85.5,84.1,81.3,90.2,78.8,,,,80.2,94.2,90.5
197802,84.3,99.7,82.3,77.1,94.2,81.9,83.1,81.6,90.2,80,,,,80.9,92.2,91.4
197803,78.8,91.7,76.8,68.8,79.6,76.7,78.7,79.7,86.6,73.8,,,,74.4,84.8,84.8
197804,81.6,91.6,79.7,73.9,81.6,80.9,82.5,81.6,86.3,78.4,,,,78.4,84.2,88.6
197805,82.9,95.6,78.9,74.4,86.4,81.5,79.7,84.5,90.1,78.5,,,,79.7,84.3,92.4
197806,80,91.5,75.7,72.4,85.1,79.6,76.5,79.5,83.4,77.4,,,,76.1,82.4,88.8
197807,82.4,92.2,78.5,77.3,91,78.2,85.4,78.8,83.5,81.6,,,,81.2,89,79.1
197808,78.4,87.9,76.8,69.8,76.2,80.4,78.7,77.6,84.1,73.7,,,,77.4,77.2,83.1
197809,80.4,86.6,84.1,72,85.6,77.8,80.1,80.3,87.3,75.7,,,,78.6,87.4,78.7
197810,79.3,90.6,76.7,70.9,77.1,79.9,82.2,78.4,84.9,75.1,,,,76.2,85.8,80.9
197811,75,82.5,73.2,69,82.4,73.1,69.6,76.1,82,71.7,,,,75.5,75.2,74.1
197812,66.1,71.7,63.3,63.6,71.4,65.6,62.1,67.5,69.2,64.4,,,,64.8,67.3,68.5
197901,72.1,82.7,70.6,63.5,70.6,76.2,73.5,69.3,81.2,65.7,,,,69.8,73.7,79.4
197902,73.9,81,74.6,67.6,77.5,75.8,68,73.5,77.1,71.6,,,,72.1,75.7,80.2
197903,68.4,77.9,64.4,63.3,67.4,71.3,65.5,68,72.1,65.2,,,,67.3,68.7,74.1
197904,66,71.5,66.4,61.3,64.8,65.6,58.1,71.9,72.8,61.8,,,,63.7,66.2,70.9
197905,68.1,74.6,65,64.1,69.6,68.2,64.8,69.1,75,63.4,,,,66.1,69.1,72.6
197906,65.8,71.2,62.5,63.9,66.3,63.3,66.8,66.8,68.5,63.7,,,,63.1,62,76.1
197907,60.4,67.7,60.9,54.4,59.7,58,60.4,63.3,66.7,55.8,,,,56.5,64,68.2
197908,64.5,72.1,64.1,58.2,71.7,63,61.9,62.9,70.2,60.4,,,,62.7,66.4,69.3
197909,66.7,71.5,66.8,63.2,70.9,65.2,64.1,67,71.3,63,,,,65.4,66.6,71.8
197910,62.1,69.5,58.1,60,63.5,60.4,59.5,64,68.8,57.3,57.5,62.1,65.3,59.6,65.6,65
197911,63.3,70.8,60.7,57.3,61.9,64.1,59.8,65.8,66.8,60.6,55.5,62.1,68.3,60,68.2,68.2
197912,61,68.2,57.1,59.2,64.6,59.5,61.7,59.7,68,56.1,58.5,62.1,66.2,58.7,64.3,67.2
198001,67,74.7,65.3,61.3,71.6,60.1,67.4,71.3,77.1,60.5,65.6,65.5,70.8,64.9,69.8,68.3
198002,66.9,74.3,65.8,60.5,72.8,65.9,63,65.7,73.5,62.1,55.3,71.5,70.8,63,73,72.3
198003,56.5,61.4,56.2,51.3,56.9,57.3,54.4,56.7,60.5,53.2,51.9,55,62.3,53,55.6,64.8
198004,52.7,60.5,43.6,51.8,51.5,58.1,50.9,50.7,57,50.4,54.6,50.5,54.3,51.6,56.3,53.7
198005,51.7,62.8,46.4,43.4,53,50.8,54.6,49.3,60.2,46.2,45.2,53,55.2,47.6,59.1,54.6
198006,58.7,65.9,53.5,57.4,67.3,58,54.4,56.4,63.5,54.7,58.4,56.2,60.5,56.1,64.7,63
198007,62.3,69.7,58.1,58.8,68.6,58.5,55.9,66.4,68.1,58.1,58.1,62,67.6,58.8,70.2,67.8
198008,67.3,71.7,64.8,66,68.1,66.2,59,72.6,74.6,61.7,63.4,68.2,70.9,62.9,67.4,78.6
198009,73.7,79.2,72.4,69.3,79.5,68.3,76.3,71.8,82.9,66.8,72.2,70.5,78.1,71.5,75.6,78.3
198010,75,80.1,70.3,73.8,73.1,70.2,75.7,79.1,80.6,71.5,68.7,77.1,76.3,72.8,75.8,79.3
198011,76.7,85.3,73.5,69.9,81.9,76.2,71.1,77.3,82.5,72.7,62.3,81.5,82.7,71.8,83.2,84.9
198012,64.5,76.4,56.5,59.6,64.4,59.9,62.3,69.4,71.2,60.1,64.7,63.1,66.9,61.1,75.3,70.6
198101,71.4,77.2,70.4,67.8,74.3,70.9,68.2,72.5,79.3,66.1,69.9,69.5,74.8,65.7,78.6,80.5
198102,66.9,72.6,68.4,60.1,70.8,62.6,64.5,70.2,69.2,65,58.8,64.6,74.2,64.5,70.8,77.5
198103,66.5,77.3,63.5,58.6,73.7,62.6,66.5,64.9,74.2,60.9,58.7,66.6,72.1,62.1,70.8,76
198104,72.4,81.4,67.9,66.9,74.2,72.7,72.6,71,77.9,68.7,62.7,74.6,77.1,70.3,80.4,72.6
198105,76.3,87.7,71.2,69.6,82.2,76.6,66.8,77.5,83.6,71,71.5,76.3,85,74.2,81.3,79.2
198106,73.1,81.7,67,69.6,73.8,74,68.5,75.2,84.2,65.6,57.6,77.6,81.5,66.8,74.9,87.6
198107,74.1,84.2,70.8,67.6,78.1,72.2,68.9,76.5,85.4,67.7,64.8,73.8,80.6,68.4,80.5,87.2
198108,77.2,87.8,75,67.9,79.2,70.1,77,83.2,83.9,72.1,70.4,80.8,84,73.1,84,85
198109,73.1,81.5,68.8,69.4,76.6,69.9,75.1,72.4,78.7,69.3,60.2,76.7,80,69,75.2,88.3
198110,70.3,80.6,65.8,64.8,79,68.1,68,69,75.9,65.8,64,71.2,76.5,64.1,76.7,82.1
