DATE,TOTALSA,
1/1/1976,12.814,
2/1/1976,13.34,
3/1/1976,13.378,
4/1/1976,13.223,
5/1/1976,12.962,
6/1/1976,13.051,
7/1/1976,13.466,
8/1/1976,12.953,
9/1/1976,13.61,
10/1/1976,12.823,
11/1/1976,13.332,
12/1/1976,14.527,
1/1/1977,14.396,
2/1/1977,14.709,
3/1/1977,15.17,
4/1/1977,15.135,
5/1/1977,14.984,
6/1/1977,14.952,
7/1/1977,14.641,
8/1/1977,14.859,
9/1/1977,14.65,
10/1/1977,14.9,
11/1/1977,14.799,
12/1/1977,15.175,
1/1/1978,13.704,
2/1/1978,14.363,
3/1/1978,15.166,
4/1/1978,16.198,
5/1/1978,16.298,
6/1/1978,16.348,
7/1/1978,15.528,
8/1/1978,16.045,
9/1/1978,14.641,
10/1/1978,15.845,
11/1/1978,15.484,
12/1/1978,15.338,
1/1/1979,15.061,
2/1/1979,15.321,
3/1/1979,15.275,
4/1/1979,14.742,
5/1/1979,14.374,
6/1/1979,12.744,
7/1/1979,14.112,
8/1/1979,14.344,
9/1/1979,14.292,
10/1/1979,13.112,
11/1/1979,13.025,
12/1/1979,13.496,
1/1/1980,14.439,
2/1/1980,13.276,
3/1/1980,12.077,
4/1/1980,10.444,
5/1/1980,9.54,
6/1/1980,10.449,
7/1/1980,11.664,
8/1/1980,11.154,
9/1/1980,10.912,
10/1/1980,11.412,
11/1/1980,11.257,
12/1/1980,10.939,
1/1/1981,11.282,
2/1/1981,12.351,
3/1/1981,12.427,
4/1/1981,10.49,
5/1/1981,10.354,
6/1/1981,10.415,
7/1/1981,10.428,
8/1/1981,12.681,
9/1/1981,11.08,
10/1/1981,9.418,
11/1/1981,9.494,
12/1/1981,9.055,
1/1/1982,10.285,
2/1/1982,10.924,
3/1/1982,10.651,
4/1/1982,9.747,
5/1/1982,11.103,
6/1/1982,9.613,
7/1/1982,9.759,
8/1/1982,9.947,
9/1/1982,11.129,
10/1/1982,10.14,
11/1/1982,12.03,
12/1/1982,11.249,
1/1/1983,10.865,
2/1/1983,10.608,
3/1/1983,11.023,
4/1/1983,11.673,
5/1/1983,12.028,
6/1/1983,12.96,
7/1/1983,12.917,
8/1/1983,12.246,
9/1/1983,12.451,
10/1/1983,13.311,
11/1/1983,13.125,
12/1/1983,14.503,
1/1/1984,14.21,
2/1/1984,14.381,
3/1/1984,14.21,
4/1/1984,14.357,
5/1/1984,14.856,
6/1/1984,14.673,
7/1/1984,14.758,
8/1/1984,14.279,
9/1/1984,13.959,
10/1/1984,14.642,
11/1/1984,14.774,
12/1/1984,14.602,
1/1/1985,15.563,
2/1/1985,15.724,
3/1/1985,15.358,
